event,league_season_id,location,event_id,cup_name,cup_id,custom_cup_ids,url,registration_url,infosheet_url,additional_info_url,starts_at,ends_at,local_start_date,local_end_date,timezone,disciplines
IFSC Europe - Continental Cup (B) - Klagenfurt (AUT) 2021,393,Klagenfurt,1205,IFSC Climbing European Cup 2021,68.0,[],/api/v1/events/1205,/api/v1/events/1205/registrations,/events/1205/infosheet,,2021-04-09 22:00:00 UTC,2021-04-11 21:59:00 UTC,2021-04-10,2021-04-11,{'value': 'Europe/Vienna'},"[{'id': 1408, 'kind': 'boulder', 'event_id': 1205, 'created_at': '2021-01-14T08:48:59.000Z', 'updated_at': '2021-01-14T08:48:59.000Z', 'settings': None}]"
IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021,388,Meiringen,1187,IFSC Climbing World Cup 2021,66.0,[],/api/v1/events/1187,/api/v1/events/1187/registrations,/events/1187/infosheet,,2021-04-15 22:00:00 UTC,2021-04-17 21:59:00 UTC,2021-04-16,2021-04-17,{'value': 'Europe/Zurich'},"[{'id': 1382, 'kind': 'boulder', 'event_id': 1187, 'created_at': '2020-09-03T08:39:08.000Z', 'updated_at': '2021-03-23T08:47:47.000Z', 'settings': None}]"
"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",402,Perm,1221,,,[74],/api/v1/events/1221,/api/v1/events/1221/registrations,/events/1221/infosheet,,2021-04-30 21:00:00 UTC,2021-05-05 20:59:00 UTC,2021-05-01,2021-05-05,{'value': 'Europe/Moscow'},"[{'id': 1429, 'kind': 'lead', 'event_id': 1221, 'created_at': '2021-01-14T10:01:51.000Z', 'updated_at': '2021-01-14T10:01:51.000Z', 'settings': None}, {'id': 1430, 'kind': 'speed', 'event_id': 1221, 'created_at': '2021-01-14T10:01:53.000Z', 'updated_at': '2021-01-14T10:01:53.000Z', 'settings': None}, {'id': 1431, 'kind': 'boulder', 'event_id': 1221, 'created_at': '2021-01-14T10:01:54.000Z', 'updated_at': '2021-01-14T10:01:54.000Z', 'settings': None}, {'id': 1441, 'kind': 'combined', 'event_id': 1221, 'created_at': '2021-09-09T13:23:27.000Z', 'updated_at': '2021-09-09T13:23:27.000Z', 'settings': None}]"
IFSC Europe - Continental Youth Cup (B) - Graz (AUT) 2021,402,Graz,1213,,,[74],/api/v1/events/1213,/api/v1/events/1213/registrations,/events/1213/infosheet,,2021-05-13 22:00:00 UTC,2021-05-16 21:59:00 UTC,2021-05-14,2021-05-16,{'value': 'Europe/Vienna'},"[{'id': 1418, 'kind': 'boulder', 'event_id': 1213, 'created_at': '2021-01-14T09:46:16.000Z', 'updated_at': '2021-05-12T12:59:57.000Z', 'settings': None}]"
IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021,388,Salt Lake City,1190,IFSC Climbing World Cup 2021,66.0,[],/api/v1/events/1190,/api/v1/events/1190/registrations,/events/1190/infosheet,,2021-05-21 06:00:00 UTC,2021-05-23 05:59:00 UTC,2021-05-21,2021-05-22,{'value': 'America/Denver'},"[{'id': 1387, 'kind': 'boulder', 'event_id': 1190, 'created_at': '2020-09-03T08:49:46.000Z', 'updated_at': '2020-09-03T08:49:46.000Z', 'settings': None}]"
"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2021",388,Salt Lake City,1192,IFSC Climbing World Cup 2021,66.0,[],/api/v1/events/1192,/api/v1/events/1192/registrations,/events/1192/infosheet,,2021-05-28 06:00:00 UTC,2021-05-31 05:59:00 UTC,2021-05-28,2021-05-30,{'value': 'America/Denver'},"[{'id': 1388, 'kind': 'boulder', 'event_id': 1192, 'created_at': '2020-09-03T08:59:26.000Z', 'updated_at': '2021-04-22T12:59:45.000Z', 'settings': None}, {'id': 1389, 'kind': 'speed', 'event_id': 1192, 'created_at': '2020-09-03T08:59:28.000Z', 'updated_at': '2021-04-22T13:00:25.000Z', 'settings': None}]"
IFSC Europe - Continental Cup (B) - Belgrad (SRB) 2021 - CANCELLED,393,Belgrad,1206,IFSC Climbing European Cup 2021,68.0,[],/api/v1/events/1206,/api/v1/events/1206/registrations,,,2021-05-28 22:00:00 UTC,2021-05-30 21:59:00 UTC,2021-05-29,2021-05-30,{'value': 'Europe/Belgrade'},"[{'id': 1409, 'kind': 'boulder', 'event_id': 1206, 'created_at': '2021-01-14T08:51:14.000Z', 'updated_at': '2021-01-14T08:51:14.000Z', 'settings': None}]"
IFSC Europe - Continental Youth Cup (S) - Bochum (GER) 2021,402,Bochum,1214,,,[75],/api/v1/events/1214,/api/v1/events/1214/registrations,/events/1214/infosheet,,2021-06-03 22:00:00 UTC,2021-06-04 21:59:00 UTC,2021-06-04,2021-06-04,{'value': 'Europe/Berlin'},"[{'id': 1419, 'kind': 'speed', 'event_id': 1214, 'created_at': '2021-01-14T09:48:01.000Z', 'updated_at': '2021-01-14T09:48:01.000Z', 'settings': None}]"
"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2021",402,Imst,1215,,,"[73, 75]",/api/v1/events/1215,/api/v1/events/1215/registrations,/events/1215/infosheet,,2021-06-10 22:00:00 UTC,2021-06-13 21:59:00 UTC,2021-06-11,2021-06-13,{'value': 'Europe/Vienna'},"[{'id': 1420, 'kind': 'lead', 'event_id': 1215, 'created_at': '2021-01-14T09:49:05.000Z', 'updated_at': '2021-01-14T09:49:05.000Z', 'settings': None}, {'id': 1421, 'kind': 'speed', 'event_id': 1215, 'created_at': '2021-01-14T09:49:07.000Z', 'updated_at': '2021-01-14T09:49:07.000Z', 'settings': None}]"
IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI),402,Ostermundigen,1216,,,[73],/api/v1/events/1216,/api/v1/events/1216/registrations,/events/1216/infosheet,,2021-06-18 22:00:00 UTC,2021-06-20 21:59:00 UTC,2021-06-19,2021-06-20,{'value': 'Europe/Zurich'},"[{'id': 1422, 'kind': 'lead', 'event_id': 1216, 'created_at': '2021-01-14T09:51:22.000Z', 'updated_at': '2021-01-14T09:51:22.000Z', 'settings': None}]"
IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,403,Innsbruck,1222,IFSC Paraclimbing Cup,71.0,[],/api/v1/events/1222,/api/v1/events/1222/registrations,,,2021-06-21 22:00:00 UTC,2021-06-24 21:59:00 UTC,2021-06-22,2021-06-24,{'value': 'Europe/Vienna'},"[{'id': 1432, 'kind': 'lead', 'event_id': 1222, 'created_at': '2021-04-22T15:48:02.000Z', 'updated_at': '2021-04-22T15:48:02.000Z', 'settings': None}]"
"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",388,Innsbruck,1193,IFSC Climbing World Cup 2021,66.0,[],/api/v1/events/1193,/api/v1/events/1193/registrations,,,2021-06-22 22:00:00 UTC,2021-06-26 21:59:00 UTC,2021-06-23,2021-06-26,{'value': 'Europe/Vienna'},"[{'id': 1390, 'kind': 'lead', 'event_id': 1193, 'created_at': '2020-09-03T09:02:43.000Z', 'updated_at': '2020-09-03T09:02:43.000Z', 'settings': None}, {'id': 1391, 'kind': 'boulder', 'event_id': 1193, 'created_at': '2020-09-03T09:02:45.000Z', 'updated_at': '2020-09-03T09:02:45.000Z', 'settings': None}]"
IFSC Europe - Continental Cup (S) - Innsbruck (AUT) 2021,393,Innsbruck,1208,IFSC Climbing European Cup 2021,68.0,[],/api/v1/events/1208,/api/v1/events/1208/registrations,/events/1208/infosheet,,2021-06-22 22:00:00 UTC,2021-06-23 21:59:00 UTC,2021-06-23,2021-06-23,{'value': 'Europe/Vienna'},"[{'id': 1411, 'kind': 'speed', 'event_id': 1208, 'created_at': '2021-01-14T08:55:53.000Z', 'updated_at': '2021-01-14T08:55:53.000Z', 'settings': None}]"
IFSC Europe - Continental Cup (S) - Gaflenz (AUT) 2021,393,Gaflenz,1209,IFSC Climbing European Cup 2021,68.0,[],/api/v1/events/1209,/api/v1/events/1209/registrations,/events/1209/infosheet,,2021-06-26 22:00:00 UTC,2021-06-27 21:59:00 UTC,2021-06-27,2021-06-27,{'value': 'Europe/Vienna'},"[{'id': 1412, 'kind': 'speed', 'event_id': 1209, 'created_at': '2021-01-14T09:01:53.000Z', 'updated_at': '2021-01-14T09:01:53.000Z', 'settings': None}]"
IFSC Europe - Continental Youth Cup (S) - Gaflenz (AUT),402,Gaflenz,1217,,,[75],/api/v1/events/1217,/api/v1/events/1217/registrations,/events/1217/infosheet,,2021-06-26 22:00:00 UTC,2021-06-27 21:59:00 UTC,2021-06-27,2021-06-27,{'value': 'Europe/Vienna'},"[{'id': 1423, 'kind': 'speed', 'event_id': 1217, 'created_at': '2021-01-14T09:52:43.000Z', 'updated_at': '2021-06-26T10:40:47.000Z', 'settings': None}]"
"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",388,Villars,1194,IFSC Climbing World Cup 2021,66.0,[],/api/v1/events/1194,/api/v1/events/1194/registrations,/events/1194/infosheet,,2021-06-30 22:00:00 UTC,2021-07-03 21:59:00 UTC,2021-07-01,2021-07-03,{'value': 'Europe/Zurich'},"[{'id': 1392, 'kind': 'lead', 'event_id': 1194, 'created_at': '2020-09-03T09:03:42.000Z', 'updated_at': '2020-09-03T09:03:42.000Z', 'settings': None}, {'id': 1398, 'kind': 'speed', 'event_id': 1194, 'created_at': '2020-09-03T09:11:51.000Z', 'updated_at': '2020-09-03T09:11:51.000Z', 'settings': None}]"
"IFSC Europe - Continental Youth Cup (L,S) - Puurs (BEL) 2021",402,Puurs,1218,,,"[73, 75]",/api/v1/events/1218,/api/v1/events/1218/registrations,/events/1218/infosheet,,2021-07-01 22:00:00 UTC,2021-07-04 21:59:00 UTC,2021-07-02,2021-07-04,{'value': 'Europe/Brussels'},"[{'id': 1424, 'kind': 'lead', 'event_id': 1218, 'created_at': '2021-01-14T09:56:25.000Z', 'updated_at': '2021-01-14T09:56:25.000Z', 'settings': None}, {'id': 1425, 'kind': 'speed', 'event_id': 1218, 'created_at': '2021-01-14T09:56:32.000Z', 'updated_at': '2021-01-14T09:56:32.000Z', 'settings': None}]"
IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,388,Chamonix,1195,IFSC Climbing World Cup 2021,66.0,[],/api/v1/events/1195,/api/v1/events/1195/registrations,/events/1195/infosheet,,2021-07-11 22:00:00 UTC,2021-07-13 21:59:00 UTC,2021-07-12,2021-07-13,{'value': 'Europe/Paris'},"[{'id': 1393, 'kind': 'lead', 'event_id': 1195, 'created_at': '2020-09-03T09:04:39.000Z', 'updated_at': '2020-09-03T09:04:39.000Z', 'settings': None}]"
IFSC - Paraclimbing World Cup (L) - Briançon (FRA) 2021,403,Briançon,1223,IFSC Paraclimbing Cup,71.0,[],/api/v1/events/1223,/api/v1/events/1223/registrations,/events/1223/infosheet,,2021-07-14 22:00:00 UTC,2021-07-15 21:59:00 UTC,2021-07-15,2021-07-15,{'value': 'Europe/Paris'},"[{'id': 1433, 'kind': 'lead', 'event_id': 1223, 'created_at': '2021-05-25T15:32:32.000Z', 'updated_at': '2021-05-25T15:32:32.000Z', 'settings': None}]"
IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,388,Briançon,1196,IFSC Climbing World Cup 2021,66.0,[],/api/v1/events/1196,/api/v1/events/1196/registrations,/events/1196/infosheet,,2021-07-16 22:00:00 UTC,2021-07-18 21:59:00 UTC,2021-07-17,2021-07-18,{'value': 'Europe/Paris'},"[{'id': 1394, 'kind': 'lead', 'event_id': 1196, 'created_at': '2020-09-03T09:09:06.000Z', 'updated_at': '2020-09-03T09:09:06.000Z', 'settings': None}]"
IFSC Europe - Continental Youth Cup (L) - Veliko Tarnovo (BUL) 2021,402,Veliko Tarnovo,1219,,,[73],/api/v1/events/1219,/api/v1/events/1219/registrations,/events/1219/infosheet,,2021-07-23 21:00:00 UTC,2021-07-25 20:59:00 UTC,2021-07-24,2021-07-25,{'value': 'Europe/Sofia'},"[{'id': 1426, 'kind': 'lead', 'event_id': 1219, 'created_at': '2021-01-14T09:58:51.000Z', 'updated_at': '2021-01-14T09:58:51.000Z', 'settings': None}]"
"IFSC Europe - Continental Youth Cup (L,S) - Zilina (SVK) 2021",402,Zilina,1220,,,"[73, 75]",/api/v1/events/1220,/api/v1/events/1220/registrations,/events/1220/infosheet,,2021-07-28 22:00:00 UTC,2021-07-31 21:59:00 UTC,2021-07-29,2021-07-31,{'value': 'Europe/Bratislava'},"[{'id': 1427, 'kind': 'lead', 'event_id': 1220, 'created_at': '2021-01-14T10:00:22.000Z', 'updated_at': '2021-01-14T10:00:22.000Z', 'settings': None}, {'id': 1428, 'kind': 'speed', 'event_id': 1220, 'created_at': '2021-01-14T10:00:23.000Z', 'updated_at': '2021-01-14T10:00:23.000Z', 'settings': None}]"
Olympic Games (C) - Tokyo (JPN) 2020,395,Tokyo,1227,,,[],/api/v1/events/1227,/api/v1/events/1227/registrations,,,2021-08-02 15:00:00 UTC,2021-08-06 14:59:00 UTC,2021-08-03,2021-08-06,{'value': 'Asia/Tokyo'},"[{'id': 1436, 'kind': 'combined', 'event_id': 1227, 'created_at': '2021-07-20T08:05:45.000Z', 'updated_at': '2021-07-20T08:05:45.000Z', 'settings': None}]"
IFSC Europe - Continental Cup (B) - Krakow (POL) 2021,393,Krakow,1207,IFSC Climbing European Cup 2021,68.0,[],/api/v1/events/1207,/api/v1/events/1207/registrations,/events/1207/infosheet,,2021-08-06 22:00:00 UTC,2021-08-08 21:59:00 UTC,2021-08-07,2021-08-08,{'value': 'Europe/Warsaw'},"[{'id': 1410, 'kind': 'boulder', 'event_id': 1207, 'created_at': '2021-01-14T08:53:06.000Z', 'updated_at': '2021-01-14T08:53:06.000Z', 'settings': None}]"
International Climbing Series - Triglav The Rock - Ljubljana (SLO) 2021,397,Ljubljana,1230,,,[],/api/v1/events/1230,/api/v1/events/1230/registrations,/events/1230/infosheet,,2021-08-13 22:00:00 UTC,2021-08-14 21:59:00 UTC,2021-08-14,2021-08-14,{'value': 'Europe/Ljubljana'},[]
"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",389,Voronezh,1186,,,[],/api/v1/events/1186,/api/v1/events/1186/registrations,/events/1186/infosheet,,2021-08-20 21:00:00 UTC,2021-08-31 20:59:00 UTC,2021-08-21,2021-08-31,{'value': 'Europe/Moscow'},"[{'id': 1379, 'kind': 'lead', 'event_id': 1186, 'created_at': '2020-09-03T08:37:20.000Z', 'updated_at': '2020-09-03T08:37:20.000Z', 'settings': None}, {'id': 1380, 'kind': 'speed', 'event_id': 1186, 'created_at': '2020-09-03T08:37:21.000Z', 'updated_at': '2020-09-03T08:37:21.000Z', 'settings': None}, {'id': 1381, 'kind': 'boulder', 'event_id': 1186, 'created_at': '2020-09-03T08:37:22.000Z', 'updated_at': '2020-09-03T08:37:22.000Z', 'settings': None}, {'id': 1442, 'kind': 'combined', 'event_id': 1186, 'created_at': '2021-09-10T07:31:55.000Z', 'updated_at': '2021-09-10T07:31:55.000Z', 'settings': None}]"
International Climbing Series - Rock Master - Arco (ITA) 2021,397,Arco,1229,,,[],/api/v1/events/1229,/api/v1/events/1229/registrations,,,2021-08-27 22:00:00 UTC,2021-08-28 21:59:00 UTC,2021-08-28,2021-08-28,{'value': 'Europe/Rome'},[]
IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,388,Ljubljana,1197,IFSC Climbing World Cup 2021,66.0,[],/api/v1/events/1197,/api/v1/events/1197/registrations,/events/1197/infosheet,,2021-09-02 22:00:00 UTC,2021-09-04 21:59:00 UTC,2021-09-03,2021-09-04,{'value': 'Europe/Ljubljana'},"[{'id': 1395, 'kind': 'lead', 'event_id': 1197, 'created_at': '2020-09-03T09:10:12.000Z', 'updated_at': '2020-09-03T09:10:12.000Z', 'settings': None}]"
IFSC - Paraclimbing World Championships (L) - Moscow 2021,403,Moscow,1225,,,[],/api/v1/events/1225,/api/v1/events/1225/registrations,/events/1225/infosheet,,2021-09-14 21:00:00 UTC,2021-09-17 20:59:00 UTC,2021-09-15,2021-09-17,{'value': 'Europe/Moscow'},"[{'id': 1435, 'kind': 'lead', 'event_id': 1225, 'created_at': '2021-07-13T09:49:33.000Z', 'updated_at': '2021-07-13T09:49:33.000Z', 'settings': None}]"
"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",388,Moscow,1185,,,[],/api/v1/events/1185,/api/v1/events/1185/registrations,/events/1185/infosheet,,2021-09-15 21:00:00 UTC,2021-09-21 20:59:00 UTC,2021-09-16,2021-09-21,{'value': 'Europe/Moscow'},"[{'id': 1376, 'kind': 'lead', 'event_id': 1185, 'created_at': '2020-09-03T08:35:27.000Z', 'updated_at': '2021-09-20T06:05:33.000Z', 'settings': None}, {'id': 1377, 'kind': 'speed', 'event_id': 1185, 'created_at': '2020-09-03T08:35:29.000Z', 'updated_at': '2020-09-03T08:35:29.000Z', 'settings': None}, {'id': 1378, 'kind': 'boulder', 'event_id': 1185, 'created_at': '2020-09-03T08:35:30.000Z', 'updated_at': '2021-09-18T13:05:50.000Z', 'settings': None}, {'id': 1445, 'kind': 'combined', 'event_id': 1185, 'created_at': '2021-09-22T13:55:14.000Z', 'updated_at': '2021-09-22T13:55:14.000Z', 'settings': None}]"
"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2021 - CANCELLED",388,Seoul,1189,IFSC Climbing World Cup 2021,66.0,[],/api/v1/events/1189,/api/v1/events/1189/registrations,/events/1189/infosheet,,2021-09-30 15:00:00 UTC,2021-10-03 14:59:00 UTC,2021-10-01,2021-10-03,{'value': 'Asia/Seoul'},"[{'id': 1385, 'kind': 'boulder', 'event_id': 1189, 'created_at': '2020-09-03T08:42:04.000Z', 'updated_at': '2020-09-03T08:42:04.000Z', 'settings': None}, {'id': 1386, 'kind': 'speed', 'event_id': 1189, 'created_at': '2020-09-03T08:42:06.000Z', 'updated_at': '2020-09-03T08:42:06.000Z', 'settings': None}]"
IFSC Europe - Continental Youth Cup (B) - Soure (POR) 2021,402,Soure,1212,,,[74],/api/v1/events/1212,/api/v1/events/1212/registrations,/events/1212/infosheet,,2021-10-08 23:00:00 UTC,2021-10-10 22:59:00 UTC,2021-10-09,2021-10-10,{'value': 'Europe/Lisbon'},"[{'id': 1417, 'kind': 'boulder', 'event_id': 1212, 'created_at': '2021-01-14T09:44:44.000Z', 'updated_at': '2021-01-14T09:44:44.000Z', 'settings': None}]"
IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,403,United States,1224,IFSC Paraclimbing Cup,71.0,[],/api/v1/events/1224,/api/v1/events/1224/registrations,/events/1224/infosheet,,2021-10-09 07:00:00 UTC,2021-10-11 06:59:00 UTC,2021-10-09,2021-10-10,{'value': 'America/Los_Angeles'},"[{'id': 1437, 'kind': 'lead', 'event_id': 1224, 'created_at': '2021-08-16T08:07:39.000Z', 'updated_at': '2021-08-16T08:07:39.000Z', 'settings': None}]"
"IFSC Europe - Continental Cup (L,S) - Laval (FRA) 2021",393,Laval,1210,IFSC Climbing European Cup 2021,68.0,[],/api/v1/events/1210,/api/v1/events/1210/registrations,/events/1210/infosheet,,2021-10-21 22:00:00 UTC,2021-10-24 21:59:00 UTC,2021-10-22,2021-10-24,{'value': 'Europe/Paris'},"[{'id': 1413, 'kind': 'lead', 'event_id': 1210, 'created_at': '2021-01-14T09:03:56.000Z', 'updated_at': '2021-01-14T09:03:56.000Z', 'settings': None}, {'id': 1414, 'kind': 'speed', 'event_id': 1210, 'created_at': '2021-01-14T09:03:57.000Z', 'updated_at': '2021-01-14T09:03:57.000Z', 'settings': None}]"
"IFSC Europe - Continental Cup (L,S) - Tyumen (RUS) 2021 - CANCELLED",393,Tyumen,1211,IFSC Climbing European Cup 2021,68.0,[],/api/v1/events/1211,/api/v1/events/1211/registrations,/events/1211/infosheet,,2021-11-04 21:00:00 UTC,2021-11-07 20:59:00 UTC,2021-11-05,2021-11-07,{'value': 'Europe/Moscow'},"[{'id': 1415, 'kind': 'lead', 'event_id': 1211, 'created_at': '2021-01-14T09:05:16.000Z', 'updated_at': '2021-01-14T09:05:16.000Z', 'settings': None}, {'id': 1416, 'kind': 'speed', 'event_id': 1211, 'created_at': '2021-01-14T09:05:17.000Z', 'updated_at': '2021-01-14T09:05:17.000Z', 'settings': None}]"
"Asian Youth Games (L,S) - Shantou (CHN) 2021",395,Shantou,1226,,,[],/api/v1/events/1226,/api/v1/events/1226/registrations,,,2021-11-19 16:00:00 UTC,2021-11-28 15:59:00 UTC,2021-11-20,2021-11-28,{'value': 'Asia/Chongqing'},[]
"IFSC Pan Am - Continental Championships (B,S,L) - Ibarra (ECU) 2021",398,Ibarra,1231,,,[],/api/v1/events/1231,/api/v1/events/1231/registrations,/events/1231/infosheet,,2021-11-30 05:00:00 UTC,2021-12-06 04:59:00 UTC,2021-11-30,2021-12-05,{'value': 'America/Lima'},"[{'id': 1438, 'kind': 'lead', 'event_id': 1231, 'created_at': '2021-08-25T15:41:57.000Z', 'updated_at': '2021-08-25T15:41:57.000Z', 'settings': None}, {'id': 1439, 'kind': 'speed', 'event_id': 1231, 'created_at': '2021-08-25T15:42:00.000Z', 'updated_at': '2021-08-25T15:42:00.000Z', 'settings': None}, {'id': 1440, 'kind': 'boulder', 'event_id': 1231, 'created_at': '2021-08-25T15:42:03.000Z', 'updated_at': '2021-08-25T15:42:03.000Z', 'settings': None}, {'id': 1512, 'kind': 'combined', 'event_id': 1231, 'created_at': '2021-12-04T21:06:12.000Z', 'updated_at': '2021-12-04T21:06:12.000Z', 'settings': None}]"
"IFSC Africa - Continental Championships (B,S,L) - Johannesburg (RSA) 2021",401,Johannesburg,1252,,,[],/api/v1/events/1252,/api/v1/events/1252/registrations,/events/1252/infosheet,,2021-12-15 22:00:00 UTC,2021-12-18 21:59:00 UTC,2021-12-16,2021-12-18,{'value': 'Africa/Johannesburg'},"[{'id': 1481, 'kind': 'lead', 'event_id': 1252, 'created_at': '2021-11-04T15:07:48.000Z', 'updated_at': '2021-11-04T15:07:48.000Z', 'settings': None}, {'id': 1482, 'kind': 'speed', 'event_id': 1252, 'created_at': '2021-11-04T15:07:50.000Z', 'updated_at': '2021-11-04T15:07:50.000Z', 'settings': None}, {'id': 1483, 'kind': 'boulder', 'event_id': 1252, 'created_at': '2021-11-04T15:07:51.000Z', 'updated_at': '2021-11-04T15:07:51.000Z', 'settings': None}]"
"Weltcup, Wien 1990",28,W-Wi,88,,,[],/api/v1/events/88,/api/v1/events/88/registrations,,,1990-04-27 00:00:00 UTC,1990-04-28 00:00:00 UTC,1990-04-27,1990-04-28,,[]
"Weltcup, Open, Wien 1990",38,O-Wi,94,,,[],/api/v1/events/94,/api/v1/events/94/registrations,,,1990-04-27 00:00:00 UTC,1990-04-28 00:00:00 UTC,1990-04-27,1990-04-28,,[]
"Weltcup, Madonna di Campiglio 1990",28,W-Ma,89,,,[],/api/v1/events/89,/api/v1/events/89/registrations,,,1990-07-26 00:00:00 UTC,1990-07-27 00:00:00 UTC,1990-07-26,1990-07-27,,[]
"Weltcup, Open, Madonna di Campiglio 1990",38,O-Ma,95,,,[],/api/v1/events/95,/api/v1/events/95/registrations,,,1990-07-26 00:00:00 UTC,1990-07-27 00:00:00 UTC,1990-07-26,1990-07-27,,[]
"Weltcup, Berkeley 1990",28,W-Be,90,,,[],/api/v1/events/90,/api/v1/events/90/registrations,,,1990-08-18 00:00:00 UTC,1990-08-19 00:00:00 UTC,1990-08-18,1990-08-19,,[]
"Weltcup, Open, Berkeley 1990",38,O-Be,96,,,[],/api/v1/events/96,/api/v1/events/96/registrations,,,1990-08-18 00:00:00 UTC,1990-08-19 00:00:00 UTC,1990-08-18,1990-08-19,,[]
"Weltcup, Nürnberg 1990",28,W-Nü,91,,,[],/api/v1/events/91,/api/v1/events/91/registrations,,,1990-10-31 00:00:00 UTC,1990-11-01 00:00:00 UTC,1990-10-31,1990-11-01,,[]
"Weltcup, Open, Nürnberg 1990",38,O-Nü,97,,,[],/api/v1/events/97,/api/v1/events/97/registrations,,,1990-10-31 00:00:00 UTC,1990-11-01 00:00:00 UTC,1990-10-31,1990-11-01,,[]
"Weltcup, Lyon 1990",28,W-Ly,92,,,[],/api/v1/events/92,/api/v1/events/92/registrations,,,1990-11-14 00:00:00 UTC,1990-11-15 00:00:00 UTC,1990-11-14,1990-11-15,,[]
"Weltcup, Open, Lyon 1990",38,O-Ly,98,,,[],/api/v1/events/98,/api/v1/events/98/registrations,,,1990-11-14 00:00:00 UTC,1990-11-15 00:00:00 UTC,1990-11-14,1990-11-15,,[]
"Weltcup, Barcelona 1990",28,W-Ba,93,,,[],/api/v1/events/93,/api/v1/events/93/registrations,,,1990-12-13 00:00:00 UTC,1990-12-14 00:00:00 UTC,1990-12-13,1990-12-14,,[]
"Weltcup, Open, Barcelona 1990",38,O-Ba,99,,,[],/api/v1/events/99,/api/v1/events/99/registrations,,,1990-12-13 00:00:00 UTC,1990-12-14 00:00:00 UTC,1990-12-13,1990-12-14,,[]
Promotional Event Kailas x Just Climb Cup (B) - Hong Kong (HKG) 2017 ,363,HKG 2017,1030,,,[],/api/v1/events/1030,/api/v1/events/1030/registrations,,,2017-01-07 00:00:00 UTC,2017-01-08 00:00:00 UTC,2017-01-07,2017-01-08,,[]
Promotional Event Gravical (B) - Singapore (SGP) 2017,363,Gravical2017,1031,,,[],/api/v1/events/1031,/api/v1/events/1031/registrations,,,2017-01-12 00:00:00 UTC,2017-01-15 00:00:00 UTC,2017-01-12,2017-01-15,,[]
3rd CISM World Winter Games - Sochi (RUS) 2017,361,CISM2017,1027,,,[],/api/v1/events/1027,/api/v1/events/1027/registrations,,,2017-02-22 00:00:00 UTC,2017-02-27 00:00:00 UTC,2017-02-22,2017-02-27,,"[{'id': 1180, 'kind': 'lead', 'event_id': 1027, 'created_at': '2020-01-31T10:49:04.000Z', 'updated_at': '2020-01-31T10:49:04.000Z', 'settings': None}, {'id': 1181, 'kind': 'boulder', 'event_id': 1027, 'created_at': '2020-01-31T10:49:05.000Z', 'updated_at': '2020-01-31T10:49:05.000Z', 'settings': None}, {'id': 1182, 'kind': 'speed', 'event_id': 1027, 'created_at': '2020-01-31T10:49:05.000Z', 'updated_at': '2020-01-31T10:49:05.000Z', 'settings': None}]"
Promo Event - The Climbing Works International Festival (B) - Sheffield (GBR) 2017,363,Promo Sheffield,1032,,,[],/api/v1/events/1032,/api/v1/events/1032/registrations,,,2017-03-18 00:00:00 UTC,2017-03-19 00:00:00 UTC,2017-03-18,2017-03-19,,"[{'id': 1190, 'kind': 'boulder', 'event_id': 1032, 'created_at': '2020-01-31T10:49:18.000Z', 'updated_at': '2020-01-31T10:49:18.000Z', 'settings': None}]"
Master Event - Studio Bloc Masters 2017 - Pfungstadt (GER) 2017 ,363,Studio Bloc Masters ,1033,,,[],/api/v1/events/1033,/api/v1/events/1033/registrations,,,2017-03-25 00:00:00 UTC,2017-03-26 00:00:00 UTC,2017-03-25,2017-03-26,,[]
IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,352,MeiringenWC,985,IFSC Climbing Worldcup 2017,59.0,[],/api/v1/events/985,/api/v1/events/985/registrations,,,2017-04-07 00:00:00 UTC,2017-04-08 00:00:00 UTC,2017-04-07,2017-04-08,,"[{'id': 1114, 'kind': 'boulder', 'event_id': 985, 'created_at': '2020-01-31T10:36:25.000Z', 'updated_at': '2020-02-14T16:09:58.000Z', 'settings': None}]"
