event,league_season_id,location,event_id,cup_name,cup_id,custom_cup_ids,url,registration_url,infosheet_url,additional_info_url,starts_at,ends_at,local_start_date,local_end_date,timezone,disciplines
IFSC Climbing World Championships - Hachioji (JPN) 2019,376,WCH Hachioji,1121,,,[],/api/v1/events/1121,/api/v1/events/1121/registrations,,,2019-08-11 00:00:00 UTC,2019-08-21 00:00:00 UTC,2019-08-11,2019-08-21,,"[{'id': 1295, 'kind': 'lead', 'event_id': 1121, 'created_at': '2020-01-31T11:06:19.000Z', 'updated_at': '2020-02-14T16:03:35.000Z', 'settings': None}, {'id': 1296, 'kind': 'boulder', 'event_id': 1121, 'created_at': '2020-01-31T11:06:26.000Z', 'updated_at': '2020-02-14T16:11:14.000Z', 'settings': None}, {'id': 1297, 'kind': 'speed', 'event_id': 1121, 'created_at': '2020-01-31T11:06:32.000Z', 'updated_at': '2020-02-14T16:06:46.000Z', 'settings': None}, {'id': 1298, 'kind': 'combined', 'event_id': 1121, 'created_at': '2020-01-31T11:06:37.000Z', 'updated_at': '2020-01-31T11:06:37.000Z', 'settings': None}]"
"Asia K Climbing Championship - Huairou, Beijing (CHN) 2019",379,ACH_K_Bangkok,1130,,,[],/api/v1/events/1130,/api/v1/events/1130/registrations,,,2019-08-16 00:00:00 UTC,2019-08-18 00:00:00 UTC,2019-08-16,2019-08-18,,[]
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,376,WCH Combined,1122,,,[],/api/v1/events/1122,/api/v1/events/1122/registrations,,,2019-08-18 00:00:00 UTC,2019-08-21 00:00:00 UTC,2019-08-18,2019-08-21,,"[{'id': 1299, 'kind': 'combined', 'event_id': 1122, 'created_at': '2020-01-31T11:07:23.000Z', 'updated_at': '2020-01-31T11:07:23.000Z', 'settings': None}]"
IFSC Youth World Championships -  Arco (ITA) 2019 ,377,YWCH Arco,1126,,,[],/api/v1/events/1126,/api/v1/events/1126/registrations,,,2019-08-22 00:00:00 UTC,2019-08-31 00:00:00 UTC,2019-08-22,2019-08-31,,"[{'id': 1304, 'kind': 'boulder', 'event_id': 1126, 'created_at': '2020-01-31T11:08:05.000Z', 'updated_at': '2020-01-31T11:08:05.000Z', 'settings': None}, {'id': 1305, 'kind': 'speed', 'event_id': 1126, 'created_at': '2020-01-31T11:08:19.000Z', 'updated_at': '2020-01-31T11:08:19.000Z', 'settings': None}, {'id': 1306, 'kind': 'combined', 'event_id': 1126, 'created_at': '2020-01-31T11:08:30.000Z', 'updated_at': '2020-01-31T11:08:30.000Z', 'settings': None}, {'id': 1307, 'kind': 'lead', 'event_id': 1126, 'created_at': '2020-01-31T11:08:48.000Z', 'updated_at': '2020-01-31T11:08:48.000Z', 'settings': None}]"
European Championship (B) - Zakopane (POL) 2019,381,PolandECH,1135,,,[],/api/v1/events/1135,/api/v1/events/1135/registrations,,,2019-09-05 00:00:00 UTC,2019-09-07 00:00:00 UTC,2019-09-05,2019-09-07,,"[{'id': 1319, 'kind': 'boulder', 'event_id': 1135, 'created_at': '2020-01-31T11:12:36.000Z', 'updated_at': '2020-01-31T11:12:36.000Z', 'settings': None}]"
International Climbing Series - Adidas Rockstars (B) - Stuttgart (GER) 2019,387,Adidas Rockstars 19,1161,,,[],/api/v1/events/1161,/api/v1/events/1161/registrations,,,2019-09-13 00:00:00 UTC,2019-09-14 00:00:00 UTC,2019-09-13,2019-09-14,,[]
European Youth Championships (B) - Brixen (ITA) 2019,382,EYCH_Brixen_19,1145,,,[],/api/v1/events/1145,/api/v1/events/1145/registrations,,,2019-09-20 00:00:00 UTC,2019-09-22 00:00:00 UTC,2019-09-20,2019-09-22,,"[{'id': 1331, 'kind': 'boulder', 'event_id': 1145, 'created_at': '2020-01-31T11:15:34.000Z', 'updated_at': '2020-01-31T11:15:34.000Z', 'settings': None}]"
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,376,KranjWC,1123,IFSC Climbing World Cup 2019,63.0,[],/api/v1/events/1123,/api/v1/events/1123/registrations,,,2019-09-28 00:00:00 UTC,2019-09-29 00:00:00 UTC,2019-09-28,2019-09-29,,"[{'id': 1300, 'kind': 'lead', 'event_id': 1123, 'created_at': '2020-01-31T11:07:33.000Z', 'updated_at': '2020-02-14T16:03:37.000Z', 'settings': None}]"
"European Championship (L,S) - Edinburgh (GBR) 2019",381,EdinCH19,1136,,,[],/api/v1/events/1136,/api/v1/events/1136/registrations,,,2019-10-04 00:00:00 UTC,2019-10-06 00:00:00 UTC,2019-10-04,2019-10-06,,"[{'id': 1320, 'kind': 'lead', 'event_id': 1136, 'created_at': '2020-01-31T11:12:43.000Z', 'updated_at': '2020-01-31T11:12:43.000Z', 'settings': None}, {'id': 1321, 'kind': 'speed', 'event_id': 1136, 'created_at': '2020-01-31T11:12:46.000Z', 'updated_at': '2020-01-31T11:12:46.000Z', 'settings': None}]"
ANOC World Beach Games (B) - Doha (QAT),385,BG19,1149,,,[],/api/v1/events/1149,/api/v1/events/1149/registrations,,,2019-10-13 00:00:00 UTC,2019-10-14 00:00:00 UTC,2019-10-13,2019-10-14,,"[{'id': 1340, 'kind': 'boulder', 'event_id': 1149, 'created_at': '2020-01-31T11:17:38.000Z', 'updated_at': '2020-01-31T11:17:38.000Z', 'settings': None}]"
"IFSC Climbing Worldcup (L, S) - Xiamen (CHN) 2019 ",376,XiamenWC,1124,IFSC Climbing World Cup 2019,63.0,[],/api/v1/events/1124,/api/v1/events/1124/registrations,,,2019-10-18 00:00:00 UTC,2019-10-20 00:00:00 UTC,2019-10-18,2019-10-20,,"[{'id': 1301, 'kind': 'lead', 'event_id': 1124, 'created_at': '2020-01-31T11:07:41.000Z', 'updated_at': '2020-02-14T16:03:39.000Z', 'settings': None}, {'id': 1302, 'kind': 'speed', 'event_id': 1124, 'created_at': '2020-01-31T11:07:44.000Z', 'updated_at': '2020-02-14T16:06:49.000Z', 'settings': None}]"
"European Youth Championships (L,S) - Voronezh (RUS) 2019",382,EYCH_Voronezh_19,1146,,,[],/api/v1/events/1146,/api/v1/events/1146/registrations,,,2019-10-18 00:00:00 UTC,2019-10-20 00:00:00 UTC,2019-10-18,2019-10-20,,"[{'id': 1332, 'kind': 'speed', 'event_id': 1146, 'created_at': '2020-01-31T11:15:58.000Z', 'updated_at': '2020-01-31T11:15:58.000Z', 'settings': None}, {'id': 1333, 'kind': 'combined', 'event_id': 1146, 'created_at': '2020-01-31T11:16:03.000Z', 'updated_at': '2020-01-31T11:16:03.000Z', 'settings': None}, {'id': 1334, 'kind': 'lead', 'event_id': 1146, 'created_at': '2020-01-31T11:16:09.000Z', 'updated_at': '2020-01-31T11:16:09.000Z', 'settings': None}]"
