,firstname,lastname,current,sigma,mu
4677,Dai,KOYAMADA,"N(mu=2.133, sigma=0.302)",0.3016763604867113,2.1328632760689143
3124,Thomas,TAUPORN,"N(mu=2.125, sigma=0.189)",0.18869072996526434,2.124742840917994
11832,Ao,YURIKUSA,"N(mu=2.121, sigma=0.269)",0.26924608402851363,2.120886122595154
6600,Nicola,SARTORI,"N(mu=2.118, sigma=0.301)",0.3011956912670409,2.1179273644873375
6832,Phillipe,MUSSATTO,"N(mu=2.116, sigma=0.313)",0.3125040733409019,2.1164658164493164
93,Dmitrii,FAKIRIANOV,"N(mu=2.116, sigma=0.225)",0.22480161081274969,2.116407472456999
5192,Timo,PREUSSLER,"N(mu=2.112, sigma=0.225)",0.22518285774440946,2.1115708376544227
847,Luca,ZARDINI,"N(mu=2.111, sigma=0.176)",0.17578513492855607,2.1111890317885615
2273,Keiichiro,KORENAGA,"N(mu=2.110, sigma=0.225)",0.22479265740296606,2.1100060219939056
6470,Robert,CORTIJO,"N(mu=2.102, sigma=0.513)",0.5132532013341976,2.1018590460822004
6812,François,DREYFUS,"N(mu=2.079, sigma=0.587)",0.5868200308460347,2.0789308021206607
419,Michaël,FUSELIER,"N(mu=2.067, sigma=0.184)",0.18406835820877226,2.066736716540931
6496,Yann,GHESQUIERS,"N(mu=2.062, sigma=0.418)",0.4182945331897596,2.062349895575934
6501,Frédéric,NICOLE,"N(mu=2.054, sigma=0.246)",0.24591663347172515,2.0540809499609867
5285,Faycal,NATECH,"N(mu=2.049, sigma=0.365)",0.36478965879995,2.048785744227855
6676,Vincent,ALBRAND,"N(mu=2.032, sigma=0.246)",0.24564071396047196,2.0317275592224067
1741,Sean,BAILEY,"N(mu=2.015, sigma=0.198)",0.19756796132258841,2.01492912039163
6558,Stefano,ALIPPI,"N(mu=1.998, sigma=0.201)",0.20135163961684022,1.9980631713086676
6474,Frédéric,COROLLER,"N(mu=1.997, sigma=0.221)",0.22068132027258283,1.9972376082471797
5323,Thomas,WIKI,"N(mu=1.995, sigma=1.008)",1.0079606444096796,1.9950156886438295
6658,Alexander,ADLER,"N(mu=1.990, sigma=0.312)",0.31232222099445384,1.9899917368541669
6920,Stéphane,FRESSOZ,"N(mu=1.985, sigma=1.002)",1.001945732906934,1.9853437403790046
4299,Sascha,LEHMANN,"N(mu=1.975, sigma=0.190)",0.1896661856412316,1.9750698341332005
6464,Patxi,AROCENA,"N(mu=1.962, sigma=0.204)",0.20376804361206624,1.9616109888882347
11390,Satone,YOSHIDA,"N(mu=1.936, sigma=0.248)",0.248013545218292,1.935516164049795
1170,Luka,POTOCAR,"N(mu=1.929, sigma=0.208)",0.20835393669418037,1.9287911301897154
6481,Stéphane,POUSSARDIN,"N(mu=1.921, sigma=0.590)",0.5903046554956308,1.9214637635800202
6785,Samuel,BIE,"N(mu=1.911, sigma=0.387)",0.38728346995363316,1.9111174862494609
6559,Andrea,DI BARI,"N(mu=1.911, sigma=1.007)",1.006796515051617,1.9110085671422403
1204,Kilian,FISCHHUBER,"N(mu=1.903, sigma=0.219)",0.21940673987550618,1.9028863582362971
6673,Mick,LOVATT,"N(mu=1.901, sigma=1.006)",1.0063852052917213,1.9012387949161873
6469,Jean,CABARET,"N(mu=1.900, sigma=0.327)",0.3271709407965976,1.90012430438983
6468,Stefan,FÜRST,"N(mu=1.887, sigma=0.202)",0.20151320396628594,1.8870869304263755
1476,Valeriy,KRYUKOV,"N(mu=1.885, sigma=0.216)",0.21635277098370476,1.8852446351634784
2276,Tomoa,NARASAKI,"N(mu=1.871, sigma=0.251)",0.25122218628725684,1.871473145743968
2309,Yoshiyuki,OGATA,"N(mu=1.864, sigma=0.223)",0.2232212154000111,1.8640460868670239
5393,Daniel,WINKLER,"N(mu=1.855, sigma=0.207)",0.20718925132735586,1.8546133361309856
