,firstname,lastname,current,sigma,mu
836,Maja,JONJIC ARNAUTOVIC,"N(mu=-3.115, sigma=1.176)",1.1762083023399932,-3.1153936651051506
2499,Siobhan,DOBIE,"N(mu=-3.116, sigma=0.656)",0.6555000432326624,-3.115745753207725
2071,Seohyun,KIM,"N(mu=-3.122, sigma=1.323)",1.3228072897976662,-3.121869288385224
12308,Tegwen,OATES,"N(mu=-3.124, sigma=0.750)",0.7502890991160887,-3.1239051957754764
3482,Hadis,NAZARIROBATI,"N(mu=-3.126, sigma=1.061)",1.060810148550534,-3.1261278005877715
3785,Beatriz,COIMBRA,"N(mu=-3.130, sigma=0.629)",0.6288400383826266,-3.1304082557530903
2617,Smriti,SINGH,"N(mu=-3.172, sigma=1.170)",1.170378163865066,-3.1723280846748345
11372,Sukma,LINTANG CAHYANI,"N(mu=-3.174, sigma=1.047)",1.0470000153197774,-3.174032547794577
5865,Margaux,HILLY,"N(mu=-3.195, sigma=2.444)",2.4437508787238276,-3.195213281008973
11521,Lurdes,GADALA-MARIA,"N(mu=-3.209, sigma=1.090)",1.0900293396960559,-3.2094077398944876
4220,María Fernanda,HIDALGO AMEZQUITA,"N(mu=-3.231, sigma=0.567)",0.5671450731947388,-3.2309572196450933
4065,Sevda,GEYIK,"N(mu=-3.263, sigma=0.627)",0.627069081978993,-3.262823727180154
13105,Camila,FLORES,"N(mu=-3.284, sigma=1.080)",1.0800027941327666,-3.283797060634823
6385,Veronique,GOSSELIN,"N(mu=-3.287, sigma=1.162)",1.162084675812557,-3.286624650094303
6243,Mariana,FIERRO,"N(mu=-3.298, sigma=0.875)",0.8750819521976634,-3.2978049795161186
13072,Viktoriya,ADAMENKO,"N(mu=-3.305, sigma=1.050)",1.0497571977885298,-3.3054839975371695
3328,Choirul,UMI CAHYANING AYUB,"N(mu=-3.335, sigma=0.552)",0.5517468150062569,-3.3346906836938137
11805,Dasom,YUN,"N(mu=-3.337, sigma=0.856)",0.8564549176028782,-3.336542129189908
3438,Katsiaryna,PAHUDA,"N(mu=-3.344, sigma=1.072)",1.072343677165112,-3.3444987140626816
14644,Vinnith,IM,"N(mu=-3.369, sigma=0.827)",0.8271101956049268,-3.368538321805585
14637,Iris Pamela,DURON ANTONIO,"N(mu=-3.420, sigma=0.782)",0.7815278172145318,-3.4196631961026567
1817,Juliana,PRICE,"N(mu=-3.488, sigma=0.860)",0.8599085821492513,-3.487534410221445
4087,Duru Güneş,YALCIN,"N(mu=-3.503, sigma=1.089)",1.089083144774867,-3.5030120487399357
11519,Yasmin,HERRERA,"N(mu=-3.524, sigma=1.109)",1.109245773216762,-3.5237904862613703
4182,Swastika,CHAUDHARY,"N(mu=-3.548, sigma=1.176)",1.175799887815291,-3.548277171180382
2638,Nehaa,PRAKASH,"N(mu=-3.608, sigma=1.199)",1.1992124920257132,-3.6079720107593696
2213,Ka-Yan,WONG ,"N(mu=-3.627, sigma=1.084)",1.084396988007711,-3.626538933177109
2220,Hoi-Ying,TO,"N(mu=-3.635, sigma=0.907)",0.9069975764592113,-3.6350837836834247
6460,Adriana,MÁRQUEZ,"N(mu=-3.672, sigma=1.198)",1.1981198946654683,-3.6717427527984667
4997,Amanda,SPEED,"N(mu=-3.688, sigma=1.073)",1.0728064820543917,-3.688404812927078
2834,Edyta,ROPEK,"N(mu=-3.698, sigma=0.768)",0.7675145489710733,-3.6978092950890487
4435,Anna,KRAJUSHKINA,"N(mu=-3.771, sigma=0.676)",0.6755495110575916,-3.770687746651246
2221,Pui-Yim,LAU,"N(mu=-3.826, sigma=1.047)",1.047223783614157,-3.82590296204398
