,firstname,lastname,current,sigma,mu
3577,Jorg,VERHOEVEN,"N(mu=2.479, sigma=0.187)",0.187172179745433,2.478687017554176
2271,Naoki,SHIMATANI,"N(mu=2.465, sigma=0.728)",0.7284126432370996,2.464851912246276
4716,Klemen,BECAN,"N(mu=2.457, sigma=0.191)",0.19090293809057934,2.4566901859456562
696,Hamish,MCARTHUR,"N(mu=2.456, sigma=0.300)",0.2997764555665996,2.455942027535316
1741,Sean,BAILEY,"N(mu=2.453, sigma=0.208)",0.20780572620880666,2.4533925659861646
532,Sam,AVEZOU,"N(mu=2.434, sigma=0.289)",0.28934380826399525,2.434238591332293
4781,Francois,KAISER,"N(mu=2.429, sigma=0.246)",0.2460663392961408,2.4285123699898
3111,David,FIRNENBURG,"N(mu=2.409, sigma=0.263)",0.2634033445985062,2.4085633803583972
5869,Tatsuya,MURAOKA,"N(mu=2.399, sigma=0.598)",0.597660602048706,2.3993863051585924
4726,Matthias,MÜLLER,"N(mu=2.398, sigma=0.291)",0.2911146003114677,2.397562985245026
373,Hannes,VAN DUYSEN,"N(mu=2.376, sigma=0.328)",0.32815926876518675,2.375982856216117
487,Nicolas,PELORSON,"N(mu=2.373, sigma=0.386)",0.3864549386012333,2.37349787319793
4778,Lucas,PRETI,"N(mu=2.361, sigma=0.232)",0.23214162013867332,2.3609601926035415
574,Leo,FAVOT,"N(mu=2.357, sigma=0.716)",0.7157190437136535,2.3570319241221593
2482,James,KASSAY,"N(mu=2.340, sigma=0.225)",0.22462601680582317,2.3404098015793844
2301,Yuki,HADA,"N(mu=2.335, sigma=0.388)",0.38753552491759385,2.334628981439814
11502,Jack,MACDOUGALL,"N(mu=2.309, sigma=0.456)",0.4558707191723853,2.309296652543193
432,Gérome,POUVREAU,"N(mu=2.298, sigma=0.316)",0.31580685422648513,2.29776629150397
2266,Ryuichi,MURAI,"N(mu=2.274, sigma=0.327)",0.327310277149258,2.2742351576839335
6276,Philip,RATAJCZAK,"N(mu=2.270, sigma=1.006)",1.006444687522599,2.269839484459738
67,Vadim,TIMONOV,"N(mu=2.269, sigma=0.220)",0.22002424752873703,2.268726156818364
1212,Lukas,ENNEMOSER,"N(mu=2.257, sigma=0.197)",0.1970944983846122,2.2566583471492527
1559,Sean,MCCOLL,"N(mu=2.253, sigma=0.176)",0.17621217530417224,2.2532020831264825
318,Simon,LORENZI,"N(mu=2.247, sigma=0.220)",0.21999199933854352,2.2468514535001023
6053,Arjan,DE KOCK,"N(mu=2.244, sigma=1.004)",1.0042784103676294,2.243714529547391
1131,Gregor,VEZONIK,"N(mu=2.233, sigma=0.190)",0.1902466095614954,2.2331975615118402
1476,Valeriy,KRYUKOV,"N(mu=2.219, sigma=0.460)",0.459787143640438,2.2185647002720525
3353,Stefan,DANKER,"N(mu=2.212, sigma=0.202)",0.20164952406521575,2.2119247229967134
4841,Gabor,SZEKELY,"N(mu=2.212, sigma=1.013)",1.0126841201681267,2.211508972436333
3460,Gholamali,BARATZADEH,"N(mu=2.198, sigma=0.214)",0.21410478304686548,2.1984938157940075
2331,Kaito,WATANABE,"N(mu=2.158, sigma=0.386)",0.3864583758484045,2.158474922643407
2587,Stephan,VOGT,"N(mu=2.150, sigma=0.998)",0.998451993661005,2.1504592796104247
2822,Jonas,BAUMANN,"N(mu=2.100, sigma=0.186)",0.18583798061525494,2.100167392868828
2346,Yuta,KOBATA,"N(mu=2.093, sigma=1.005)",1.0047609212968576,2.093284022135692
6010,Carlos,CATARI,"N(mu=2.089, sigma=1.010)",1.0095359435651206,2.08889282377982
546,Pierre,LE CERF,"N(mu=2.088, sigma=0.714)",0.7143630005686615,2.088447760930162
4471,Ludovic,LAURENCE,"N(mu=2.083, sigma=0.328)",0.3283594979867988,2.0827088392506146
3058,Magnus,MIDTBOE,"N(mu=2.067, sigma=0.509)",0.5092251797322612,2.0670160479532385
772,Patxi,USOBIAGA LAKUNZA,"N(mu=2.060, sigma=1.009)",1.0085256909014677,2.0598125662607454
1216,Mario,LECHNER,"N(mu=2.055, sigma=0.363)",0.36311048812884444,2.0553049712555382
4842,Shinpei,HASEGAWA,"N(mu=2.045, sigma=1.013)",1.01254182649119,2.044683516574685
13320,Kento,YAMAGUCHI,"N(mu=2.039, sigma=0.456)",0.45550435340079787,2.039331722068071
4779,Antoine,VANDEPUTTE,"N(mu=2.024, sigma=0.460)",0.4596598231356174,2.0242408801734957
1773,Rudolph,RUANA,"N(mu=1.996, sigma=0.342)",0.34193169313821425,1.995990441842498
4783,Akito,MATSUSHIMA,"N(mu=1.985, sigma=0.392)",0.3915480136705076,1.984819810489737
