,firstname,lastname,current,sigma,mu
2080,Chaehyun,SEO,"N(mu=2.554, sigma=0.282)",0.28249282697309147,2.5535089457509903
4017,Ayala,KEREM,"N(mu=2.547, sigma=0.266)",0.2661241594732978,2.5467577258580496
5208,Fanny,ROGEAUX,"N(mu=2.545, sigma=0.310)",0.31026967146103185,2.545247901027973
1474,Svitlana,TUZHYLINA,"N(mu=2.543, sigma=0.466)",0.46557623800517134,2.543091579616821
1209,Katharina,SAURWEIN,"N(mu=2.528, sigma=0.178)",0.17761163776362765,2.5276840065987076
1160,Lucka,RAKOVEC,"N(mu=2.514, sigma=0.302)",0.3018079211409408,2.51368406961226
445,Charlotte,DURIF,"N(mu=2.508, sigma=0.371)",0.37083167482706325,2.507638685869542
5040,Emilie,ABGRALL,"N(mu=2.507, sigma=0.227)",0.22715452523292487,2.507119492814583
4553,Esther,CRUZ MONTALBAN,"N(mu=2.487, sigma=0.516)",0.516349255206562,2.487172806675055
5159,Olga,OCHTCHEPKOVA,"N(mu=2.476, sigma=1.023)",1.022551991653172,2.4761628396503483
1468,Olena,RYEPKO,"N(mu=2.474, sigma=0.527)",0.5272028840490198,2.474087553589445
4563,Giulia,GIAMMARCO,"N(mu=2.459, sigma=0.253)",0.2530539228234797,2.458594393774017
4761,Anna,GALLYAMOVA,"N(mu=2.458, sigma=0.212)",0.2123121932572659,2.458177601142612
14008,Melody,SEKIKAWA,"N(mu=2.457, sigma=0.418)",0.4179962064446446,2.4567389926943766
4532,Renata,PISZCZEK,"N(mu=2.435, sigma=0.308)",0.3076548465544434,2.43462872215317
13992,Mashiro,KUZUU,"N(mu=2.422, sigma=1.003)",1.0034809134391245,2.4223908004242785
44,Olga,IAKOVLEVA,"N(mu=2.402, sigma=0.225)",0.2249009911551817,2.40184808024465
4757,Maud,ANSADE,"N(mu=2.394, sigma=0.200)",0.20001356224013475,2.3940935042935823
1130,Katja,DEBEVEC,"N(mu=2.393, sigma=0.190)",0.18956870610039153,2.3929481765894
1120,Katja,VIDMAR,"N(mu=2.388, sigma=0.224)",0.2237607993545834,2.388246561752103
427,Cecile,AVEZOU,"N(mu=2.366, sigma=0.198)",0.19788862409143285,2.365673261136654
5879,Angela,PAYNE,"N(mu=2.344, sigma=0.285)",0.284957057108162,2.343585679493335
5493,Olga,BEZHKO,"N(mu=2.312, sigma=0.318)",0.31773807397011095,2.312231974779202
2501,Oceania,MACKENZIE,"N(mu=2.311, sigma=0.258)",0.2578303071783492,2.3107527460453805
2035,Jain,KIM,"N(mu=2.298, sigma=0.191)",0.19057214187857377,2.2977746735537057
848,Jenny,LAVARDA,"N(mu=2.297, sigma=0.186)",0.18596466630219582,2.296877273680366
635,Michaela,TRACY,"N(mu=2.282, sigma=0.229)",0.22941706060562927,2.2819066458905515
439,Anne-Laure,CHEVRIER,"N(mu=2.236, sigma=0.190)",0.19044948553577562,2.2364484964850466
620,Zélia,AVEZOU,"N(mu=2.225, sigma=0.390)",0.39049712007426207,2.2246375199473145
13321,Mia,AOYAGI,"N(mu=2.219, sigma=0.313)",0.3129369101284393,2.218629723310256
4758,Alexandra,BALAKIREVA,"N(mu=2.213, sigma=0.227)",0.2273948504401919,2.212860404780757
6177,Ana,TIRIPA,"N(mu=2.204, sigma=1.010)",1.0098627996363876,2.20360009153379
2013,Monika,RETSCHY,"N(mu=2.197, sigma=0.187)",0.18662634757091592,2.1968236076031533
4455,Chloé,MINORET,"N(mu=2.189, sigma=0.340)",0.339913731701785,2.189493903266532
1486,Ievgeniia,KAZBEKOVA,"N(mu=2.148, sigma=0.208)",0.2078245656542775,2.147656539597963
1161,Mia,KRAMPL,"N(mu=2.133, sigma=0.264)",0.26398039076677654,2.133172709460885
2047,Sol,SA,"N(mu=2.132, sigma=0.183)",0.18290686180066684,2.1316834122938024
55,Ekaterina,KIPRIIANOVA,"N(mu=2.128, sigma=0.226)",0.2256128048923202,2.127524398392272
4531,Natalia,NOVIKOVA,"N(mu=2.124, sigma=0.402)",0.40174658989256795,2.123651530867672
5388,Alix,GRAFTIAUX,"N(mu=2.122, sigma=1.009)",1.0087631769676266,2.1216969598034074
3113,Hannah,MEUL,"N(mu=2.098, sigma=0.222)",0.22225149616866424,2.0984616511603984
4486,Martina,CUFAR,"N(mu=2.093, sigma=0.429)",0.4286417660695944,2.0925554246008797
2327,Mao,NAKAMURA,"N(mu=2.091, sigma=0.258)",0.2582368817973978,2.0910113370711194
5044,Mélanie,SON,"N(mu=2.088, sigma=0.212)",0.21233276810284432,2.0883183936360807
50,Tatiana,SHEMULINKINA ,"N(mu=2.087, sigma=0.223)",0.22286437533160475,2.086905950863921
1153,Vita,LUKAN,"N(mu=2.082, sigma=0.264)",0.2638886147270035,2.081818273066993
4535,Alexandra,EYER,"N(mu=2.076, sigma=0.243)",0.24316289877575892,2.076057253409827
5295,Elizabeth,ASHER,"N(mu=2.073, sigma=0.284)",0.28403639468447583,2.073111036837128
443,Mélanie,SANDOZ,"N(mu=2.069, sigma=0.184)",0.18368684092587365,2.0688776901557455
1223,Berit,SCHWAIGER,"N(mu=2.041, sigma=0.202)",0.2024819231156093,2.0414882142952973
4638,Nicola,HAAGER,"N(mu=2.025, sigma=0.288)",0.28835624970368146,2.025192512261086
11813,Cloe,COSCOY,"N(mu=2.001, sigma=0.289)",0.2893274718688701,2.0005393066211696
1750,Kyra,CONDIE,"N(mu=1.996, sigma=0.206)",0.2057087623549995,1.9959763400456685
1121,Maja,STREMFELJ,"N(mu=1.992, sigma=0.367)",0.36651766409489045,1.9917795273607184
12297,Anon,MATSUFUJI,"N(mu=1.986, sigma=0.329)",0.3288386661470546,1.9855442014918678
2381,Natsuki,TANII,"N(mu=1.979, sigma=0.720)",0.7198371850489935,1.978632745425413
5777,Anne,HOARAU,"N(mu=1.978, sigma=0.765)",0.7645952125500052,1.978191749419285
1240,Franziska,STERRER,"N(mu=1.963, sigma=0.203)",0.20336298568411473,1.9632530764058802
442,Alizée,DUFRAISSE,"N(mu=1.960, sigma=0.250)",0.24973005902653475,1.9595920275339611
5874,Tiffany,HENSLEY,"N(mu=1.953, sigma=0.470)",0.46996163439669664,1.952742073131096
7347,Natasha,BARNES,"N(mu=1.938, sigma=1.007)",1.007397412008224,1.9384428231928095
4636,Leire,AGUIRRE,"N(mu=1.938, sigma=0.238)",0.2380585804476981,1.9379961248933744
4651,Akiko,OOIWA,"N(mu=1.934, sigma=1.041)",1.0408337083664636,1.9340604159296757
914,Giorgia,TESIO,"N(mu=1.899, sigma=0.240)",0.2399318905910781,1.8992730699296005
1222,Katharina,POSCH,"N(mu=1.897, sigma=0.291)",0.2910977855468294,1.897463141469232
5629,Christina,BEDARD,"N(mu=1.890, sigma=1.036)",1.0363815754748504,1.8896322492328086
5788,Therese,JOHANNESEN,"N(mu=1.888, sigma=0.348)",0.3480012412040145,1.8881083932306333
4814,Thirza,CARPENTER,"N(mu=1.888, sigma=0.602)",0.6015010220863243,1.8878046691743884
4759,Samantha,BERRY,"N(mu=1.882, sigma=0.228)",0.2283336990143646,1.8823210174928127
2310,Tomoko,KAJIMA,"N(mu=1.881, sigma=0.422)",0.42174540179137654,1.8809696739768524
2268,Aya,ONOE,"N(mu=1.858, sigma=0.197)",0.1971976671818226,1.8582393252289733
5197,Stella,MARCHISIO,"N(mu=1.853, sigma=0.223)",0.22284939704510123,1.8534591870468995
1717,Cicada,JENERIK,"N(mu=1.839, sigma=0.732)",0.7315801232207829,1.8389968691225727
11546,Sara,COPAR,"N(mu=1.839, sigma=0.585)",0.5849754369947765,1.8389298690745355
316,Chloe,CAULIER,"N(mu=1.834, sigma=0.182)",0.1819485742498008,1.8338417601647323
147,Viktoriia,MESHKOVA,"N(mu=1.825, sigma=0.316)",0.3156877240643208,1.8253338388383462
1205,Sabine,BACHER,"N(mu=1.824, sigma=0.190)",0.19027402303085805,1.8244722739640549
638,Mina,LESLIE-WUJASTYK,"N(mu=1.813, sigma=0.221)",0.2209977618419916,1.812636760696993
3247,Rebekka,STOTZ,"N(mu=1.812, sigma=0.252)",0.2515360382814159,1.8121760289873856
68,Dinara,FAKHRITDINOVA,"N(mu=1.806, sigma=0.317)",0.31704448377085725,1.8064993203209232
1358,Helena,LIPENSKA,"N(mu=1.800, sigma=0.228)",0.2281843538872025,1.8003281837357104
553,Flavy,COHAUT,"N(mu=1.785, sigma=0.265)",0.26508846379022505,1.7854285158079373
4637,Tanja,BAUER,"N(mu=1.772, sigma=0.327)",0.3269272355088375,1.7717807564068233
1137,Julija,KRUDER,"N(mu=1.769, sigma=0.204)",0.2042137663325499,1.7689912822449418
632,Leah,CRANE,"N(mu=1.752, sigma=0.203)",0.20322736713280964,1.7522882969371736
4328,Alma,BESTVATER,"N(mu=1.743, sigma=0.202)",0.20201797176341313,1.7429458095197932
1202,Barbara,BACHER,"N(mu=1.742, sigma=0.185)",0.18471020531866622,1.741877605974034
13041,Nonoha,KUME,"N(mu=1.741, sigma=0.715)",0.7151963818637426,1.741144557729597
4722,Katrin,SEDLMAYER,"N(mu=1.741, sigma=1.063)",1.0628068649488494,1.7411304349746992
12537,Kylie,CULLEN,"N(mu=1.734, sigma=0.257)",0.25714773710743016,1.734406710744126
11468,Erin,MCNEICE,"N(mu=1.728, sigma=0.456)",0.4561284209381451,1.7284716787074672
1565,Alannah,YIP,"N(mu=1.726, sigma=0.195)",0.19472387919611603,1.7259485861770085
1753,Margo,HAYES,"N(mu=1.714, sigma=0.265)",0.264655891269842,1.7141424395616633
1243,Johanna,FÄRBER,"N(mu=1.712, sigma=0.199)",0.198511590250355,1.7120825964210737
6193,Dorothea,KARALUS,"N(mu=1.711, sigma=1.016)",1.0159160679601111,1.7114155913031062
2278,Mei,KOTAKE,"N(mu=1.705, sigma=0.219)",0.21896683496247138,1.704999293632047
5074,Isabella,RITSCH,"N(mu=1.698, sigma=0.300)",0.2997603414514054,1.6979276633926612
2287,Aika,TAJIMA,"N(mu=1.683, sigma=0.519)",0.5186391807487934,1.6832310071576013
4562,Sasa,TRUDEN,"N(mu=1.679, sigma=1.024)",1.0238001751027617,1.6789821418483968
2356,Saki,KIKUCHI,"N(mu=1.660, sigma=0.344)",0.3438606747648012,1.6595145827270374
1181,Lucija,TARKUS,"N(mu=1.653, sigma=0.510)",0.5096792537371929,1.6533037917903213
2251,Yuka,KOBAYASHI,"N(mu=1.644, sigma=0.305)",0.3046320619330875,1.6437746639252564
